,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Power_Steering,Power,Torque,Seating_Capacity,Type,Wheelbase,Boot_Space,Ventilation_System,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Number_of_Airbags
0,Tata,Nano Genx,Xt,"Rs. 2,92,667",624 cc,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,?23.6 km/litre,,23.6 km/litre,,660 kg,4,180 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,4,Manual,2230 mm,110 litres,Manual Air conditioning with cooling and heating,,,
1,Tata,Nano Genx,Xe,"Rs. 2,36,447",624 cc,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,?23.6 km/litre,,23.6 km/litre,,725 kg,4,180 mm,Drum,Drum,,38PS@5500rpm,51Nm@4000rpm,4,Manual,2230 mm,110 litres,,,,
2,Tata,Nano Genx,Emax Xm,"Rs. 2,96,661",624 cc,2,RWD (Rear Wheel Drive),BS IV,15 litres,CNG,1652 mm,3164 mm,1750 mm,Hatchback,,,,36 km/kg,710 kg,4,180 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,4,Manual,2230 mm,110 litres,Air Conditioning with cooling only,,,
3,Tata,Nano Genx,Xta,"Rs. 3,34,768",624 cc,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,?23.6 km/litre,,21.9 km/litre,,725 kg,5,180 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,4,Automatic,2230 mm,94 litres,Manual Air conditioning with cooling and heating,,,
4,Tata,Nano Genx,Xm,"Rs. 2,72,223",624 cc,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,?23.6 km/litre,,23.6 km/litre,,725 kg,4,180 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,4,Manual,2230 mm,110 litres,Air Conditioning with cooling only,,,
5,Tata,Nano Genx,Xma,"Rs. 3,14,815",624 cc,2,RWD (Rear Wheel Drive),BS IV,24 litres,Petrol,1652 mm,3164 mm,1750 mm,Hatchback,?23.6 km/litre,,21.9 km/litre,,710 kg,5,180 mm,Drum,Drum,Electric Power,38PS@5500rpm,51Nm@4000rpm,4,Automatic,2230 mm,94 litres,Air Conditioning with cooling only,,,
6,Datsun,Redi-Go,D,"Rs. 2,79,650",799 cc,3,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,,5,185 mm,Ventilated Disc,Drum,,54PS@5678rpm,72Nm@4386rpm,5,Manual,2348 mm,222 litres,Yes,Yes,,
7,Datsun,Redi-Go,T,"Rs. 3,51,832",799 cc,3,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,,5,185 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,5,Manual,2348 mm,222 litres,Manual Air conditioning with cooling and heating,,,
8,Datsun,Redi-Go,A,"Rs. 3,33,419",799 cc,3,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,,5,185 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,5,Manual,2348 mm,222 litres,Manual Air conditioning with cooling and heating,,,
9,Datsun,Redi-Go,S,"Rs. 3,62,000",799 cc,3,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,21.38 km/litre,24 km/litre,25.17 km/litre,,,5,185 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,5,Manual,2348 mm,222 litres,Manual Air conditioning with cooling and heating,,,
10,Datsun,Redi-Go,1.0 S,"Rs. 3,90,000",999 cc,3,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,,,22.5 km/litre,,,5,185 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,5,Manual,2348 mm,222 litres,Air Conditioning with cooling only,,,
11,Datsun,Redi-Go,1.0 S Amt,"Rs. 4,37,065",999 cc,3,FWD (Front Wheel Drive),BS IV,28 litres,Petrol,1541 mm,3429 mm,1560 mm,Hatchback,,,23 km/litre,,,5,185 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,5,Automatic,2348 mm,222 litres,Manual Air conditioning with cooling and heating,,,
12,Renault,Kwid,Rxe 0.8,"Rs. 3,53,290",799 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,25.17 km/litre,,25.17 km/litre,,669 kg,6,184 mm,Ventilated Disc,Drum,,54PS@5678rpm,72Nm@4386rpm,5,Manual,2422 mm,300 litres,Manual Air conditioning with cooling and heating,Yes,,1
13,Renault,Kwid,Std 0.8,"Rs. 2,83,290",799 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,25.17 km/litre,,25.17 km/litre,,669 kg,5,184 mm,Ventilated Disc,Drum,,54PS@5678rpm,72Nm@4386rpm,5,Manual,2442 mm,300 litres,Heater,Yes,,1
14,Renault,Kwid,Rxl 0.8,"Rs. 3,83,290",799 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,25.17 km/litre,,25.17 km/litre,,669 kg,5,184 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,5,Manual,2422 mm,300 litres,Manual Air conditioning with cooling and heating,Yes,,1
15,Renault,Kwid,Rxt 0.8,"Rs. 4,13,290",799 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1580 mm,Hatchback,25.17 km/litre,,25.17 km/litre,,669 kg,5,184 mm,Ventilated Disc,Drum,Electric Power,54PS@5678rpm,72Nm@4386rpm,5,Manual,2422 mm,300 litres,Manual Air conditioning with cooling and heating,Yes,,1
16,Renault,Kwid,Rxt 1.0,"Rs. 4,33,290",999 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,25.17 km/litre,,23.01 km/litre,,669 kg,5,184 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,5,Manual,2422 mm,300 litres,Manual Air conditioning with cooling and heating,Yes,,1
17,Renault,Kwid,Climber 1.0 Mt,"Rs. 4,54,490",999 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,25.17 km/litre,,23.01 km/litre,,669 kg,5,184 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,5,Manual,2422 mm,300 litres,Manual Air conditioning with cooling and heating,Yes,,1
18,Renault,Kwid,Rxt Amt 1.0,"Rs. 4,63,290",999 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,25.17 km/litre,,24.04 km/litre,,669 kg,,184 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,5,Automatic,2422 mm,300 litres,Manual Air conditioning with cooling and heating,Yes,,1
19,Renault,Kwid,Climber Amt 1.0,"Rs. 4,84,490",999 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,25.17 km/litre,,24.04 km/litre,,669 kg,,184 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,5,Automatic,2422 mm,300 litres,Manual Air conditioning with cooling and heating,Yes,,1
20,Renault,Kwid,Rxt (O) 1.0,"Rs. 4,40,990",999 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,25.17 km/litre,,23.01 km/litre,,669 kg,5,184 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,5,Manual,2422 mm,300 litres,Manual Air conditioning with cooling and heating,Yes,,2
21,Renault,Kwid,Rxt (O) Amt 1.0,"Rs. 4,70,990",999 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,25.17 km/litre,,23.01 km/litre,,669 kg,5,184 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,5,Automatic,2422 mm,300 litres,Manual Air conditioning with cooling and heating,Yes,,2
22,Renault,Kwid,Climber (O) Mt 1.0,"Rs. 4,62,190",999 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,25.17 km/litre,,23.01 km/litre,,669 kg,5,184 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,5,Manual,2422 mm,300 litres,Manual Air conditioning with cooling and heating,Yes,,2
23,Renault,Kwid,Climber (O) Amt 1.0,"Rs. 4,92,190",999 cc,3,FWD (Front Wheel Drive),BS 6,28 litres,Petrol,1490 mm,3731 mm,1579 mm,Hatchback,25.17 km/litre,,24.04 km/litre,,669 kg,,184 mm,Ventilated Disc,Drum,Electric Power,68PS@5500rpm,91Nm@4250RPM,5,Automatic,2422 mm,300 litres,Manual Air conditioning with cooling and heating,Yes,,2
24,Maruti Suzuki,Eeco,5 Str,"Rs. 3,52,136",1196 cc,4,RWD (Rear Wheel Drive),BS 6,40 litres,Petrol,1800 mm,3675 mm,1475 mm,MPV,12 km/litre,15 km/litre,15 km/litre,,920 kg,5,160 mm,Ventilated Disc,Drum,,73PS@6000rpm,101Nm@3000rpm,5,Manual,2350 mm,400 litres,,Yes,1510 kg,1
25,Maruti Suzuki,Eeco,7 Str,"Rs. 3,80,573",1196 cc,4,FWD (Front Wheel Drive),BS 6,40 litres,Petrol,1800 mm,3675 mm,1475 mm,MPV,12 km/litre,15 km/litre,15 km/litre,,940 kg,5,160 mm,Ventilated Disc,Drum,,74PS@6000RPM,101Nm@3000rpm,7,Manual,2350 mm,250 litres,,Yes,1540 kg,1
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,"Rs. 3,92,967",1196 cc,4,RWD (Rear Wheel Drive),BS 6,40 litres,Petrol,1800 mm,3675 mm,1475 mm,MPV,11 km/litre,15 km/litre,15 km/litre,,928 kg,5,160 mm,Ventilated Disc,Drum,,73PS@6000rpm,101Nm@3000rpm,5,Manual,2350 mm,400 litres,Manual Air conditioning with cooling and heating,,1510 kg,
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,"Rs. 4,66,057",1196 cc,4,RWD (Rear Wheel Drive),BS 6,40 litres,CNG,1800 mm,3675 mm,1475 mm,MPV,,,,20 km/kg,1050 kg,5,160 mm,Ventilated Disc,Drum,,62PS@6000rpm,85Nm@3000rpm,5,Manual,2350 mm,400 litres,Manual Air conditioning with cooling and heating,Yes,1510 kg,1
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,"Rs. 4,25,255",1196 cc,4,RWD (Rear Wheel Drive),BS 6,40 litres,CNG,1800 mm,3675 mm,1475 mm,MPV,,,,20 km/kg,1030 kg,5,160 mm,Ventilated Disc,Drum,,62PS@6000rpm,85Nm@3000rpm,5,Manual,2350 mm,400 litres,Heater,Yes,1510 kg,1
29,Maruti Suzuki,Alto K10,Lxi,"Rs. 3,77,588",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,14 km/litre,17 km/litre,24.07 km/litre,,745 kg,5,160 mm,Ventilated Disc,Drum,Yes,68PS@6000rpm,90Nm@3500rpm,5,Manual,2360 mm,177 litres,Manual Air conditioning with cooling and heating,Yes,1210 kg,1
30,Maruti Suzuki,Alto K10,Vxi,"Rs. 3,94,036",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,14 km/litre,17 km/litre,24.07 km/litre,,750 kg,5,160 mm,Ventilated Disc,Drum,Yes,68PS@6200rpm,90Nm@3500rpm,5,Manual,2360 mm,177 litres,Manual Air conditioning with cooling and heating,Yes,1210 kg,1
31,Maruti Suzuki,Alto K10,Lx,"Rs. 3,60,843",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,19 km/litre,24.07 km/litre,24.07 km/litre,,740 kg,5,160 mm,Ventilated Disc,Drum,,68PS@6000rpm,90Nm@3500rpm,5,Manual,2360 mm,177 litres,Manual Air conditioning with cooling and heating,Yes,1210 kg,1
32,Maruti Suzuki,Alto K10,Vxi (O),"Rs. 4,07,238",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1460 mm,3620 mm,1475 mm,Hatchback,14 km/litre,17 km/litre,24.07 km/litre,,755 kg,5,160 mm,Ventilated Disc,Drum,Yes,68PS@6000rpm,90Nm@3500rpm,5,Manual,2360 mm,177 litres,Manual Air conditioning with cooling and heating,,1210 kg,1
33,Maruti Suzuki,Alto K10,Lxi Cng (O),"Rs. 4,39,777",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,CNG,1475 mm,3545 mm,1490 mm,Hatchback,,,,32.26 km/kg,740 kg,5,160 mm,Ventilated Disc,Drum,Yes,59PS@6000rpm,78Nm@3500rpm,5,Manual,2360 mm,177 litres,Manual Air conditioning with cooling and heating,,1210 kg,1
34,Maruti Suzuki,Alto K10,Vxi Amt (O),"Rs. 4,38,559",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1475 mm,3545 mm,1490 mm,Hatchback,14 km/litre,17 km/litre,24.07 km/litre,,755 kg,5,160 mm,Ventilated Disc,Drum,Yes,68PS@6000rpm,90Nm@3500rpm,5,Automatic,2360 mm,177 litres,Manual Air conditioning with cooling and heating,,1210 kg,1
35,Datsun,Go,D,"Rs. 3,74,990",1198 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1507 mm,3788 mm,1636 mm,Hatchback,,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,,68PS@5000rpm,104Nm@4000rpm,5,Manual,2450 mm,265 litres,Heater,Yes,,2
36,Datsun,Go,T,"Rs. 4,68,229",1198 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1507 mm,3788 mm,1636 mm,Hatchback,,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,5,Manual,2450 mm,265 litres,"Heater, Manual Air conditioning with cooling and heating",Yes,,2
37,Datsun,Go,T (O),"Rs. 5,02,492",1198 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1507 mm,3788 mm,1636 mm,Hatchback,20.6 km/litre,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,5,Manual,2450 mm,265 litres,"Heater, Manual Air conditioning with cooling and heating",Yes,,2
38,Datsun,Go,A (O),"Rs. 4,99,990",1198 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1507 mm,3788 mm,1636 mm,Hatchback,20.6 km/litre,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,5,Manual,2450 mm,265 litres,Manual Air conditioning with cooling and heating,Yes,,2
39,Datsun,Go,A,"Rs. 4,69,990",1198 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1507 mm,3788 mm,1636 mm,Hatchback,20.6 km/litre,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,5,Manual,2450 mm,265 litres,Manual Air conditioning with cooling and heating,Yes,,2
40,Datsun,Go,T Vdc,"Rs. 5,28,464",1198 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1507 mm,3788 mm,1636 mm,Hatchback,,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,5,Manual,2450 mm,265 litres,"Heater, Manual Air conditioning with cooling and heating",Yes,,2
41,Datsun,Go,T (O) Vdc,"Rs. 5,53,015",1198 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1507 mm,3788 mm,1636 mm,Hatchback,20.6 km/litre,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,Electric Power,68PS@5000rpm,104Nm@4000rpm,5,Manual,2450 mm,265 litres,"Heater, Manual Air conditioning with cooling and heating",Yes,,2
42,Datsun,Go,T Cvt,"Rs. 5,94,464",1198 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1507 mm,3788 mm,1636 mm,Hatchback,,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,Electric Power,78PS@5000rpm,104Nm@4000rpm,5,Manual,2450 mm,265 litres,"Heater, Manual Air conditioning with cooling and heating",Yes,,2
43,Datsun,Go,T (O) Cvt,"Rs. 6,18,015",1198 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1507 mm,3788 mm,1636 mm,Hatchback,20.6 km/litre,,20.1 km/litre,,864 kg,5,180 mm,Ventilated Disc,Drum,Electric Power,78PS@5000rpm,104Nm@4000rpm,5,Manual,2450 mm,265 litres,"Heater, Manual Air conditioning with cooling and heating",Yes,,2
44,Maruti Suzuki,Celerio Tour,H2,"Rs. 4,22,444",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,23 km/litre,,23.1 km/litre,,830 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,5,Manual,2425 mm,235 litres,Manual Air conditioning with cooling and heating,Yes,1250 kg,2
45,Maruti Suzuki,Celerio Tour,H2 Cng,"Rs. 4,80,670",998 cc,3,FWD (Front Wheel Drive),BS IV,60 litres,CNG,1560 mm,3695 mm,1600 mm,Hatchback,,,,31.76 km/kg,915 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,59bhp@6000rpm,78Nm@3500rpm,5,Manual,2425 mm,235 litres,Manual Air conditioning with cooling and heating,,1350 kg,2
46,Hyundai,Santro,Era Mt,"Rs. 4,29,990",1086 cc,4,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,,,20.3 km/litre,,,5,,,,Electric Power,69PS@5500rpm,99.04nm@4500RPM,5,Manual,2400 mm,,Manual Air conditioning with cooling and heating,Yes,,1
47,Hyundai,Santro,Magna Mt,"Rs. 5,03,990",1086 cc,4,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,,,20.3 km/litre,,,5,,,,Electric Power,69PS@5500rpm,99.04nm@4500RPM,5,Manual,2400 mm,,Manual Air conditioning with cooling and heating,Yes,,1
48,Hyundai,Santro,Magna Mt Cng,"Rs. 5,47,990",1086 cc,4,FWD (Front Wheel Drive),BS IV,35 litres,CNG,1560 mm,3610 mm,1645 mm,Hatchback,,,,30.48 km/kg,,5,,,,Electric Power,59PS@5500RPM,99.04nm@4500RPM,5,Manual,2400 mm,,Manual Air conditioning with cooling and heating,Yes,,1
49,Hyundai,Santro,Magna Amt,"Rs. 5,30,990",1086 cc,4,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,,,20.3 km/litre,,,5,,Solid Disc,Drum,Electric Power,69PS@5500rpm,10.1kgm@4500RPM,5,AMT,2400 mm,,Manual Air conditioning with cooling and heating,Yes,,1
50,Hyundai,Santro,Sportz Mt,"Rs. 5,12,990",1086 cc,4,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,,,20.3 km/litre,,,5,,Solid Disc,Drum,Electric Power,69PS@5500rpm,10.1kgm@4500RPM,5,Manual,2400 mm,,Manual Air conditioning with cooling and heating,Yes,,1
51,Hyundai,Santro,Sportz Mt Cng,"Rs. 5,78,990",1086 cc,4,FWD (Front Wheel Drive),BS IV,60 litres,CNG,1560 mm,3610 mm,1645 mm,Hatchback,,,,30.48 km/kg,,5,,Solid Disc,Drum,Electric Power,59PS@5500RPM,8.3KGM@4500rpm,5,Manual,2400 mm,,Manual Air conditioning with cooling and heating,Yes,,1
52,Hyundai,Santro,Sportz Amt,"Rs. 5,70,990",1086 cc,4,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,,,20.3 km/litre,,,5,,Solid Disc,Drum,Electric Power,69PS@5500rpm,10.1kgm@4500RPM,5,AMT,2400 mm,,Manual Air conditioning with cooling and heating,Yes,,1
53,Hyundai,Santro,Asta Mt,"Rs. 5,56,490",1086 cc,4,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3610 mm,1645 mm,Hatchback,,,20.3 km/litre,,,5,,,,Electric Power,69PS@5500rpm,99.04nm@4500RPM,5,Manual,2400 mm,,Manual Air conditioning with cooling and heating,Yes,,2
54,Tata,Tiago,Revotron Xe,"Rs. 4,60,000",1199 cc,3,FWD (Front Wheel Drive),BS 6,35 litres,Petrol,1535 mm,3765 mm,1677 mm,Hatchback,,,23 km/litre,,935 kg,5,,Ventilated Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,5,Manual,2400 mm,,Manual Air conditioning with cooling and heating,Yes,,2
55,Tata,Tiago,Revotron Xt,"Rs. 5,20,000",1199 cc,3,FWD (Front Wheel Drive),BS 6,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,23.84 km/litre,23 km/litre,23 km/litre,,930 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,5,Manual,2400 mm,242 litres,Manual Air conditioning with cooling and heating,Yes,,2
56,Tata,Tiago,Revotron Xz,"Rs. 5,70,000",1199 cc,3,FWD (Front Wheel Drive),BS 6,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,23.84 km/litre,23 km/litre,23 km/litre,,930 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,5,Manual,2400 mm,242 litres,Manual Air conditioning with cooling and heating,Yes,,2
57,Tata,Tiago,Revotron Xz Plus,"Rs. 5,99,000",1199 cc,3,FWD (Front Wheel Drive),BS 6,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,23.84 km/litre,23 km/litre,23 km/litre,,930 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,5,Manual,2400 mm,242 litres,Manual Air conditioning with cooling and heating,Yes,,2
58,Tata,Tiago,Revotron Xz Plus Dual Tone,"Rs. 6,10,000",1199 cc,3,FWD (Front Wheel Drive),BS 6,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,23.84 km/litre,23 km/litre,23 km/litre,,930 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,5,Manual,2400 mm,242 litres,Manual Air conditioning with cooling and heating,Yes,,2
59,Tata,Tiago,Revotron Xza,"Rs. 6,20,000",1199 cc,3,FWD (Front Wheel Drive),BS 6,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,23.84 km/litre,24 km/litre,24 km/litre,,930 kg,5,170 mm,Solid Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,5,AMT,2400 mm,240 litres,Fully automatic climate control,Yes,,2
60,Tata,Tiago,Revotron Xza Plus,"Rs. 6,49,000",1199 cc,3,FWD (Front Wheel Drive),BS 6,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,23.84 km/litre,24 km/litre,24 km/litre,,930 kg,5,170 mm,Solid Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,5,AMT,2400 mm,240 litres,Fully automatic climate control,Yes,,2
61,Tata,Tiago,Revotron Xza Plus Dual Tone,"Rs. 6,60,000",1199 cc,3,FWD (Front Wheel Drive),BS 6,35 litres,Petrol,1535 mm,3746 mm,1647 mm,Hatchback,23.84 km/litre,24 km/litre,24 km/litre,,930 kg,5,170 mm,Solid Disc,Drum,Electric Power,86PS@6000rpm,114NM@3300rpm,5,AMT,2400 mm,240 litres,Fully automatic climate control,Yes,,2
62,Maruti Suzuki,Celerio X,Vxi (O),"Rs. 4,81,074",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,5,Manual,2425 mm,235 litres,Manual Air conditioning with cooling and heating,Yes,1250 kg,2
63,Maruti Suzuki,Celerio X,Vxi,"Rs. 4,75,198",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,5,Manual,2425 mm,235 litres,Manual Air conditioning with cooling and heating,,1250 kg,1
64,Maruti Suzuki,Celerio X,Vxi Amt,"Rs. 5,18,198",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,5,Automatic,2425 mm,235 litres,Manual Air conditioning with cooling and heating,,1250 kg,1
65,Maruti Suzuki,Celerio X,Vxi Amt (O),"Rs. 5,24,074",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,5,Automatic,2425 mm,235 litres,Manual Air conditioning with cooling and heating,Yes,1250 kg,2
66,Maruti Suzuki,Celerio X,Zxi,"Rs. 4,99,734",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,5,Manual,2425 mm,235 litres,Manual Air conditioning with cooling and heating,,1250 kg,1
67,Maruti Suzuki,Celerio X,Zxi (O),"Rs. 5,40,350",998 cc,3,FWD (Front Wheel Drive),BS IV,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,23 km/litre,22 km/litre,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Electric Power,68PS@6000rpm,90Nm@3500rpm,5,Manual,2425 mm,235 litres,Manual Air conditioning with cooling and heating,Yes,1250 kg,2
